S. no,Name,Brand,Image,,Country,Sport,Gender,MRP,Sizes,Colours,Amazon Link,Price,Available sizes,Flipkart Link,Price,Available sizes,Myntra Link,Price,Available sizes,Tata Cliq Link,Price,Available sizes,NBA Store Link,Price,Available sizes,Ajio Link,Price,Available sizes,Superkicks Link,Price,Available sizes,Official Website,Price,Available sizes,Foot Type,Foot Width,Injury History,Playing Surface,Playing Style,Playing Position,Shoe Preference,Player Level,Product Analysis Note
87,Nike G.T. Cut Academy EP Basketball Shoes,Nike,,,India,Basketball,Men/Unisex,8495,"6,6.5,7,7.5,8,8.5,9,9.5,10,11,12",Green,NA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.nike.com/in/t/gt-cut-academy-ep-basketball-shoes-DTdMPk/FB2598-400,8495,"6.6.5,7,7.5,8,8.5,9,9.,10,11,12",Neutral,Wide,Basic,Indoor courts,Agile,Guards forwards ,Mid-top design,Intermediate to advanced,
88,G.T. Cut Academy EP Basketball Shoes,Nike,,,,Basketball,Men/Unisex,8495,"6,6.5,7,7.5,8,8.5,9,9.5,10,11,12",,NA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.nike.com/in/t/gt-cut-academy-ep-basketball-shoes-DTdMPk/FB2598-013,8495,"6,6.5,7,7.5,8,8.5,9,9.5,10,11,12",Neutral,Regular,Basic,Indoor courts,Agile,Guards forwards ,Mid-top design,Intermediate to advanced,
89,G.T. Cut Academy EP Basketball Shoes For Men ,Nike,,,India,Basketball,Men/Unisex,8495,"6,8,9,10",Black,NA ,NA,NA,https://www.flipkart.com/nike-g-t-cut-academy-ep-basketball-shoes-men/p/itma7c75bff35c20,6796,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Neutral,Medium,Basic,Indoor courts,Agile,Guards forwards ,Mid-top design,Intermediate to advanced,
90,"Nike G.T. Cut Academy By You
Custom Basketball Shoes",Nike,,,,Basketball,Men/Unisex,10795,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15,16,17",Blue,NA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.nike.com/in/u/custom-nike-gt-cut-academy-10001836,10795,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15,16,17",Neutral,Standard,Suitability,Indoor courts,Agile,Hybrid,Mid-top design,Intermediate to advanced,
91,"Nike G.T. Cut Academy By You
Custom Basketball Shoes",Nike,,,India,Basketball,Men/Unisex,10795,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15,16,17",White yello,NA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.nike.com/in/u/custom-nike-gt-cut-academy-10001836/2889750039,10795,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15,16,17",Neutral,Regular,Suitability,Indoor courts,Agile,Hybrid,Mid-top design,Intermediate to advanced,
92,"Nike G.T. Cut Academy By You
Custom Basketball Shoes",Nike,,,,Basketball,Men/Unisex,10795,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15,16,17",White Black,NA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.nike.com/in/u/custom-nike-gt-cut-academy-10001836/3518284490,10795,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15,16,17",Neutral,Wide,Suitability,Indoor courts,Agile,Hybrid,Mid-top design,Intermediate to advanced,
93,"Nike G.T. Cut Academy By You
Custom Basketball Shoes",Nike,,,India,Basketball,Men/Unisex,10795,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15,16,17",Red,NA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.nike.com/in/u/custom-nike-gt-cut-academy-10001836/4104893522,10795,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15,16,17",Neutral,Medium,Suitability,Indoor courts,Agile,point guard,Mid-top design,Intermediate to advanced,
94,"Nike G.T. Cut Academy By You
Custom Basketball Shoes",Nike,,,,Basketball,Men/Unisex,10795,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15,16,17",Pink,NA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.nike.com/in/u/custom-nike-gt-cut-academy-10001836/9532317607,10795,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15,16,17",Neutral,Standard,Suitability,Indoor courts,Agile,Shooting guard,Mid-top design,Intermediate to advanced,
95,"Nike G.T. Cut Academy By You
Custom Basketball Shoes",Nike,,,India,Basketball,Men/Unisex,10795,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15,16,17",Pink and Black,NA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.nike.com/in/u/custom-nike-gt-cut-academy-10001836/9402958718,10795,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15,16,17",Neutral,Standard,Suitability,outdoor,Agile,Hybrid,Mid-top design,Intermediate to advanced,
96,"Nike G.T. Cut Academy By You
Custom Basketball Shoes",Nike,,,,Basketball,Men/Unisex,10795,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15,16,17",Black,NA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.nike.com/in/u/custom-nike-gt-cut-academy-10001836/8679885289,10795,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15,16,17",Neutral,Standard,Basic,Indoor courts,Agile,point guard,Mid-top design,Intermediate to advanced,
97,Men G.T. Cut Academy EP Basketball Shoes,Nike,,,India,Basketball,Men/Unisex,8495,"5,6,7,8,9,10,11,12",White ,NA ,NA,NA,NA,NA,NA,https://www.myntra.com/sports-shoes/nike/nike-men-gt-cut-academy-ep-basketball-shoes/30031251/buy,6796,"6,7,8,9,10,11,12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,Regular,Suitability,Indoor courts,Agile,point guard,Mid-top design,Intermediate to advanced,
98,Men G.T. Cut Academy EP Basketball Shoes,Nike,,,,Basketball,Men/Unisex,8495,"5,6,7,8,9,10,11,12",Green,NA ,NA,NA,NA,NA,NA,https://www.myntra.com/sports-shoes/nike/nike-gt-cut-academy-ep-basketball-shoes/30315143/buy,6796,"6,7,8,9,10,11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,Wide,Basic,Indoor courts,Agile,point guard,Mid-top design,Intermediate to advanced,
99,LeBron Witness 8 EP Basketball Shoes,Nike,,,India,Basketball,Men/Unisex,8695,"6,7,7.5,8,,8.5 9,10,11,12",Gry Black,NA ,NA,NA,NA,NA,NA,https://www.myntra.com/sports-shoes/nike/nike-lebron-witness-8-ep-basketball-shoes/30031255/buy,6956,"6,7,8,9,10,11,12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,Standard,Basic,Indoor courts,Agile,point guard,Mid-top design,Intermediate to advanced,
100,LeBron Witness 8 EP Basketball Shoes,Nike,,,,Basketball,Men/Unisex,8695,"6,7,7.5,8,,8.5 9,10,11,12",Multicolor,NA ,NA,NA,NA,NA,NA,https://www.myntra.com/sports-shoes/nike/nike-unisex-lebron-witness-8-ep-basketball-shoes/26674212/buy,6956,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,Medium fit,Cushioned support,Outdoor traction,Explosive movements,All positions,Lightweight stability,Intermediate to Advanced,
101,Fly.By Mid 3 Basketball Shoes For Men ,Nike,,,India,Basketball,Men/Unisex,4995,"5.5,6,7,8,9,10,11,12",Black,,,, https://www.flipkart.com/nike-fly-by-mid-3-basketball-shoes-men/p/itmd55cdf8dde67f?pid=SHOG982JKZNMJKR8&lid=LSTSHOG982JKZNMJKR8WQMI7F&marketplace=FLIPKART&q=nike+basketball+shoe&store=osp%2Fcil&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&fm=search-autosuggest&iid=7c0aa96f-42c6-425e-9aee-e1f0217da891.SHOG982JKZNMJKR8.SEARCH&ppt=sp&ppn=sp&ssid=xksjyoc7g00000001746003446487&qH=d35c149b5bf7debe,4995,"6,7,8,9,10",NA,N,Na,NA,Na,Na,NA,NA,NA,NA,Na,NA,Na,Na,Na,Na,NA,NA,Neutral,Medium fit,Cushioned support,Outdoor traction,"Agile, versatile",All positions,"Lightweight, breathable","Intermediate, advanced",
102,"G.T. Hustle Academy EP Basketball Shoes For Men  (Green , 6)",Nike,,,,Basketball,Men/Unisex,8495,"5,6,7,8,9,10,11,12",Vintage Grean,https://www.amazon.in/Nike-G-T-Hustle-Academy-EP/dp/B0DLGVYRL6/ref=asc_df_B0DLGVYRL6?mcid=d3423a9386c83544ae2f0a06a1d0ad8f&tag=googleshopdes-21&linkCode=df0&hvadid=731651018564&hvpos=&hvnetw=g&hvrand=535757542045228127&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9302983&hvtargid=pla-2405422039320&gad_source=1&th=1&psc=1,8067,7,https://www.flipkart.com/nike-g-t-hustle-academy-ep-basketball-shoes-men/p/itm0e395c0b43ac3?pid=SHOH5H3ZKNPFGYPJ&lid=LSTSHOH5H3ZKNPFGYPJ08AKBE&marketplace=FLIPKART&q=nike+basketball+shoe&store=osp%2Fcil&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&fm=search-autosuggest&iid=7c0aa96f-42c6-425e-9aee-e1f0217da891.SHOH5H3ZKNPFGYPJ.SEARCH&ppt=sp&ppn=sp&qH=d35c149b5bf7debe,6795,"6,8",https://www.myntra.com/sports-shoes/nike/nike-gt-hustle-academy-ep-basketball-shoes/31243251/buy?utm_source=dms_google&utm_medium=pmax_cpc&utm_campaign=dms_google_pmax_cpc_Myntra_SOK_KPI_Traffic_New&keyword=&matchtype=&target=&placement=&gad_source=1&gad_campaignid=20418375772&gbraid=0AAAAADoxBh7dJnKvvksQkXT70Bjb5jg2C&gclid=Cj0KCQjwlMfABhCWARIsADGXdy-T_lmkqADB1M97KcjxBgs_ZnCjghmUdAI4_kmJ3T7Pms4RurvvxTEaAlRQEALw_wcB,6796,"6,8,9",Na,Na,Na,https://www.nbastore.in/products/nike-gt-hustle-academy-ep-basketball-shoes-vintage-greenjade-horizonsail-green?gad_source=1&gad_campaignid=21370414964&gbraid=0AAAAAqdufVZowli2b_7_awa47a_5BYT65&gclid=Cj0KCQjwlMfABhCWARIsADGXdy_Wyo6ARGqNLuwsbNAjraIZU7jEIrKz366fTGBTHlxom65Z66t_koYaAl3PEALw_wcB,8495,"8,9,10",NA,Na,NA,Na,Na,Na,Na,NA,NA,Neutral,Standard fit,Cushioned support,Indoor,Versatile,All positions,"Lightweight, responsive","Intermediate, advanced",
103,"G.T. Hustle Academy EP Basketball Shoes For Men  (Grey , 10)",Nike,,,India,Basketball,Men/Unisex,8496,"7,8,9,10,11,12",Na,N,Na,Na,https://www.flipkart.com/nike-g-t-hustle-academy-ep-basketball-shoes-men/p/itm23f05d70866ee?pid=SHOH4ZFGDBH2GHVB&lid=LSTSHOH4ZFGDBH2GHVBED7MGL&marketplace=FLIPKART&q=nike+basketball+shoe&store=osp%2Fcil&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&fm=search-autosuggest&iid=7c0aa96f-42c6-425e-9aee-e1f0217da891.SHOH4ZFGDBH2GHVB.SEARCH&ppt=sp&ppn=sp&qH=d35c149b5bf7debe,6796,"7,8,9,10",Na,Na,Na,Na,Na,Na,Na,Na,Na,NA,Na,NA,Na,Na,Na,Na,NA,NA,Neutral,Wide-friendly,Cushioned support,Indoor,Aggressive play,guard,Lightweight cushioning,"Intermediate, advanced",
104,Nike Mens Giannis Immortality 4 Ep Running Shoes,Nike,,,,Basketball,Men/Unisex,7095,"5.5,6,6.5,7,7.5,8,8.5,9,10,11,12",white,https://www.amazon.in/Giannis-Immortality-EP-White-Black-Pure-PLATINUM-FQ3681-100-9UK/dp/B0D95LZ5J9/ref=asc_df_B0D95LZ5J9?mcid=da8f282c1f8039f085dc79a30f42272a&tag=googleshopdes-21&linkCode=df0&hvadid=719555916627&hvpos=&hvnetw=g&hvrand=255996260256975954&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9302983&hvtargid=pla-2375860407568&gad_source=1&th=1&psc=1,4996,9,Na,Na,Na,https://www.myntra.com/sports-shoes/nike/nike-giannis-immortality-4-ep-men-basketball-shoes/30600587/buy?utm_source=dms_google&utm_medium=pmax_cpc&utm_campaign=dms_google_pmax_cpc_Myntra_SOK_Premium_Users_New&keyword=&matchtype=&target=&placement=&gad_source=1&gad_campaignid=21178679919&gbraid=0AAAAADoxBh6JRsMwpA688CmQzMLiqM855&gclid=Cj0KCQjw_dbABhC5ARIsAAh2Z-SxzDsLyjfn20h3Smvm-ce2YiPLZGdVnoILodwNo1z8arES2uBjHikaAjWiEALw_wcB,7095,"6,7,8,9",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Neutral,Medium,Cushioned support,Indoor to outdoor,"Versatile, quick",All positions,"Supportive, traction-focused",Recreational,
105,Giannis Immortality 4 'Christmas' EP Basketball Shoes,Nike,,,India,Basketball,Men/Unisex,7095,Na,Na,Na,Na,Na,Na,Na,Na,https://www.myntra.com/sports-shoes/nike/nike-giannis-immortality-4-christmas-ep-basketball-shoes/33845289/buy?utm_source=dms_google&utm_medium=pmax_cpc&utm_campaign=dms_google_pmax_cpc_Myntra_SOK_Premium_Users_New&keyword=&matchtype=&target=&placement=&gad_source=1&gad_campaignid=21178679919&gbraid=0AAAAADoxBh6JRsMwpA688CmQzMLiqM855&gclid=Cj0KCQjw_dbABhC5ARIsAAh2Z-RYKXoTv_Ww21-2ikR6OBsCbJetHOwllTq54yNjexH8gMV3LMoQZNsaAg3BEALw_wcB,7095,8,na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Neutral,Medium,Cushioned support,Indoor to outdoor,"Agile, versatile",All positions,"Lightweight, traction",Recreational,
106,Nike Mens Lebron Witness Viii Ep Basketball Shoes,Nike,,,,Basketball,Men/Unisex,8695,"5.5,6,6.5,7,7.5,8,8.5,9,10,11,12",total orange thunder blue laser,https://www.amazon.in/Nike-Witness-EP-Total-Blue-Laser-FUCHSIA-FB2237-800-8UK/dp/B0CZHGMQQ4?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A1WYWER0W24N8S&th=1&psc=1,5217,8,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Neutral,Medium,Cushioned support,Outdoor traction,Explosive stability,Versatile use,Lightweight mesh,"Intermediate, advanced",
107,Nike Mens Lebron Witness Viii Ep Basketball Shoes,Nike,,,India,Basketball,Men/Unisex,8695,"5.5,6,6.5,7,7.5,8,8.5,9,10,11,12", ARMORY NAVY CYBER-GREEN FROST-,https://www.amazon.in/Nike-Witness-EP-Total-Blue-Laser-FUCHSIA-FB2237-800-8UK/dp/B0D95LH3BD?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A1WYWER0W24N8S&th=1&psc=1,6029,8,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Neutral,Medium,Cushioning support,Outdoor traction,Explosive movements,Versatile,Lightweight stability,"Intermediate, advanced",
108,Nike Mens Lebron Witness Viii Ep Basketball Shoes,Nike,,,,Basketball,Men/Unisex,8695,"5.5,6,6.5,7,7.5,8,8.5,9,10,11,12",navy,https://www.amazon.in/Nike-Witness-EP-Total-Blue-Laser-FUCHSIA-FB2237-800-8UK/dp/B0DLGYM4WN?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A1WYWER0W24N8S&th=1&psc=1,6287,"8,9,10",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Neutral,Medium,Cushioning support,Outdoor traction,"Explosive, agile",Versatile players,Lightweight stability,"Intermediate, advanced",
109,Nike Mens Lebron Witness Viii Ep Basketball Shoes,Nike,,,India,Basketball,Men/Unisex,8695,"5.5,6,6.5,7,7.5,8,8.5,9,10,11,12",White,https://www.amazon.in/Nike-Witness-EP-Total-Blue-Laser-FUCHSIA-FB2237-800-8UK/dp/B0DLGXSGNT?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A1WYWER0W24N8S&th=1&psc=1,6287,"9,11",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Neutral,Medium,Cushioning support,Outdoor traction,Explosive stability,All positions,Lightweight mesh,"Intermediate, advanced",
110,Nike Mens Lebron Witness Viii Ep Basketball Shoes,Nike,,,,Basketball,Men/Unisex,8695,"5.5,6,6.5,7,7.5,8,8.5,9,10,11,12",Black,https://www.amazon.in/Nike-Witness-EP-Total-Blue-Laser-FUCHSIA-FB2237-800-8UK/dp/B0DLH3BH1N?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A1WYWER0W24N8S&th=1&psc=1,5967,"6.7,8,9,10,11.12",Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.nbastore.in/products/nike-lebron-witness-8-ep-basketball-shoes-blackred-black,8695,"7,8,9,10",Na,Na,Na,Na,Na,Na,Na,Na,Na,Neutral,Medium,Cushioned support,Outdoor courts,"Explosive, versatile",All positions,"Lightweight, stable","Intermediate, advanced",
111,Nike Mens Lebron Witness Viii Ep Basketball Shoes,Nike,,,India,Basketball,Men/Unisex,8695,"5.5,6,6.5,7,7.5,8,8.5,9,10,11,12",VAPOR GREEN/WHITE-LIGHT CARBON,https://www.amazon.in/Nike-Witness-EP-Total-Blue-Laser-FUCHSIA-FB2237-800-8UK/dp/B0CTKDY3GQ?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A1WYWER0W24N8S&th=1,4624,"6.7,8,9,10,11,12",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Neutral,Medium,Cushioned support,Outdoor courts,Explosive movements,All positions,"Lightweight, stable","Intermediate, advanced",
112,Nike Mens Lebron Witness Viii Ep Basketball Shoes,Nike,,,,Basketball,Men/Unisex,8695,"5.5,6,6.5,7,7.5,8,8.5,9,10,11,12",BLACK/UNIVERSITY GOLD-FIELD PURPLE,https://www.amazon.in/Nike-Witness-EP-Total-Blue-Laser-FUCHSIA-FB2237-800-8UK/dp/B0CK9H4MVH?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A1WYWER0W24N8S&th=1,4624,"6,7,8,10,11",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Neutral,Medium,Cushioned support,Outdoor courts,"Explosive, agile",All positions,"Lightweight, stable","Intermediate, advanced",
113,Nike Mens Court Borough Mid Basketball Shoes,Nike,,,India,Basketball,Men/Unisex,6295,"5.5,6,8,12",WHITE/GYM RED-BLACK,https://www.amazon.in/Nike-Mens-Court-Borough-Sneakers/dp/B07J2FG35T?th=1,6295,8,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Neutral,Medium,Not specified,outdoor,casual,not specified ,classic ,Recreational,
114,Nike Mens Ebernon Mid Basketball Shoes,Nike,,,,Basketball,Men/Unisex,5995,"5,9,7,8,9,10,11,12",White,https://www.amazon.in/Nike-Ebernon-Basketball-Shoes-8-AQ1773-100/dp/B078HNJFSL?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A26RQD7C30XA1P&th=1&psc=1,5995,8,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.nike.com/in/t/ebernon-mid-shoes-jZrBlh/AQ1773-100,5995,"5.5,6,7,8,9,10,11,12",Neutral,Medium,Slightly narrow,Indoor,Casual,All positions,Retro style,Beginner to intermediate ,
115,Nike Mens Ebernon Mid Basketball Shoes,Nike,,,India,Basketball,Men/Unisex,5995,"5,9,7,8,9,10,11,12",BLACK/GAME ROYAL-WHITE,https://www.amazon.in/Nike-Ebernon-Basketball-Shoes-8-AQ1773-100/dp/B078HGRVCP?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A26RQD7C30XA1P&th=1,5995,"5,6,12",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Neutral,Medium,Limited cushioning,Indoor to outdoor,Classic support,Versatile,Retro style,Casual,
116,Nike Mens Ebernon Mid Basketball Shoes,Nike,,,,Basketball,Men/Unisex,5995,"5,9,7,8,9,10,11,12","Black,White",https://www.amazon.in/Nike-Ebernon-Basketball-Shoes-8-AQ1773-100/dp/B00HCR1B70?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A26RQD7C30XA1P&th=1&psc=1,5995,"7,8,9",Na,Na,Na,https://www.myntra.com/casual-shoes/nike/nike-men-black-solid-leather-ebernon-mid-top-sneakers/6677051/buy?utm_source=dms_google&utm_medium=pmax_cpc&utm_campaign=dms_google_pmax_cpc_Myntra_SOK_KPI_Traffic_New&keyword=&matchtype=&target=&placement=&gad_source=1&gad_campaignid=20418375772&gbraid=0AAAAADoxBh58FEMdJRxgCAFcQCwO-JNFQ&gclid=Cj0KCQjw_dbABhC5ARIsAAh2Z-S7eIep6F0vFTLJrNBW-EYbKPOl4fOrcZyRN0PDBiWc9pRulD7RsvgaAjdsEALw_wcB,5995,7,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.nike.com/in/t/ebernon-mid-shoes-jZrBlh,5697,"7,8,9,10,11",Neutral,Medium,Limited cushioning,Durable traction,Classic basketball,Not specified,Retro style,Casual,
117,NIKE G.T. HUSTLE ACADEMY EP BASKETBALL SHOES 'BLACK/WHITE,Nike,,,India,Basketball,Men/Unisex,8495,"7,8,9,10,11,12",Black,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.nbastore.in/products/nike-gt-hustle-academy-ep-basketball-shoes-blackwhite-black,5947,"7,8,9,10,11,12",Na,Na,Na,,Na,Na,Na,Na,Na,Neutral,: Wide friendly,Achilles support,Outdoor traction,Fast paced,Versatile,Lightweight breathability,Intermediate to advanced,
118,ADIDAS DAME CERTIFIED 3 BASKETBALL SHOES 'CORE BLACK / LUCID RED / GREY TWO,Adidas,,,,Basketball,Men/Unisex,7999,"7,8,910,11,12",CORE BLACK / LUCID RED / GREY TWO,Na,Na,Na,Na,Na,Na,https://www.myntra.com/sports-shoes/adidas/adidas-unisex-dame-certified-3-basketball-shoes-/32201586/buy?utm_source=dms_google&utm_medium=pmax_cpc&utm_campaign=dms_google_pmax_cpc_Myntra_SOK_Premium_Users_New&keyword=&matchtype=&target=&placement=&gad_source=1&gad_campaignid=21178679919&gbraid=0AAAAADoxBh6JRsMwpA688CmQzMLiqM855&gclid=Cj0KCQjw_dbABhC5ARIsAAh2Z-RFY4u5xdUbsPeSxR02CX9smj3hJCGqHI3vVNVt9UzJHV0Y-lVt1-kaAlt9EALw_wcB,6399,"5,6,7,8,9,10,11,12",https://www.tatacliq.com/adidas-originals-mens-dame-certified-3-grey-basketball-shoes/p-mp000000025620147?cid=ps:Mall_Google_Perf_Shopping_Sok_21048871669_Footwear_Adidas&gad_source=1&gad_campaignid=21048871669&gbraid=0AAAAADeBiBzx3MGjzsHKwRrLPt6Yl6Sgd&gclid=Cj0KCQjw_dbABhC5ARIsAAh2Z-Q1MbgDuU1dmHk0oEoC00sazVIykFEdqtVX9PoALmMyjIcZJxY8ut0aArfiEALw_wcB,6399,"5,6,7,8,9,10,11,12",https://www.nbastore.in/products/adidas-dame-certified-3-basketball-shoes-core-black-lucid-red-grey-two-blackgrey,7999,"7,8,9,10,11,12",Na,Na,Na,https://www.superkicks.in/products/adidas-dame-certified-3-core-black-lucid-red-grey-two?variant=46921741828347&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=22291378264&gbraid=0AAAAACbwFJVhlJeLMh9Wfss_iZxYC3vY0&gclid=Cj0KCQjw_dbABhC5ARIsAAh2Z-Tq_v3Ww4Vz7TCkiPWnsiTLe86RyrF7vPCRRjx4cSxNCT4PEvBdQ20aAlilEALw_wcB,7999,"7,8,9,10",Na,Na,Na,Neutral,Medium,Achilles support,Hard court,"Agile, explosive",Guard to focused,"Lightweight, cushioned",Intermediate to advanced,
119,NIKE G.T. CUT 3 EP BASKETBALL SHOES 'ROYAL PULSE/WHITE',Nike,,,India,Basketball,Men/Unisex,17495,"7,8,9,10,11","Royal plus ,white",Na,Na,Na,Na,Na,Na,https://www.myntra.com/sports-shoes/nike/nike-unisex-gt-cut-3-ep-leather-zoomx-lace-ups-basketball-sports-shoes/31387601/buy?utm_source=dms_google&utm_medium=pmax_cpc&utm_campaign=dms_google_pmax_cpc_Myntra_SOK_Premium_Users_New&keyword=&matchtype=&target=&placement=&gad_source=1&gad_campaignid=21178679919&gbraid=0AAAAADoxBh6JRsMwpA688CmQzMLiqM855&gclid=Cj0KCQjw_dbABhC5ARIsAAh2Z-ThfaGpRyXCyjt0u8CHx-Ge2KPYKcFAFqc5J6goUslHhBJr050vOS0aAjQcEALw_wcB,13996,8,Na,Na,Na,https://www.nbastore.in/products/nike-gt-cut-3-ep-basketball-shoes-royal-pulsewhite-blue,12247,"8,9,10,11",Na,Na,Na,Na,Na,Na,Na,Na,Na,Neutral,Medium,Wide-friendly design,High ankle support,Outdoor traction,Quick cuts,guard, Responsive cushioning,
